beta,f_fb,f_ow
0.0001,0.9999938124824748,0.9999938735882493
0.0102,0.971743825110348,0.9825723423137893
0.0203,0.9347333590017325,0.9627507514596678
0.0304,0.9004698852466734,0.943726524608712
0.0405,0.8691578216494323,0.9254696892820579
0.0506,0.8405307962700965,0.9079452452299198
0.0607,0.8143315690233625,0.8911201268840566
0.0708,0.7903296181263961,0.8749630973772272
0.0809,0.7683188185642816,0.8594446349787233
0.091,0.7481146379437195,0.8445368268747274
0.1011,0.729551651550443,0.8302132698088478
0.1112,0.7124813659309446,0.8164489771043498
0.1213,0.6967703111291706,0.8032202916263669
0.1314,0.6822983660363199,0.7905048042762522
0.1415,0.6689572862708041,0.7782812776413827
0.1516,0.6566494082797808,0.7665295744523892
0.1617,0.6452865069974546,0.7552305905261577
0.1718,0.6347887875045958,0.7443661918971933
0.1819,0.6250839937909248,0.7339191558622802
0.192,0.6161066199964705,0.7238731156838947
0.2021,0.6077972114578112,0.7142125087167439
0.2122,0.6001017445591397,0.704922527739184
0.2223,0.5929710758274782,0.6959890752872814
0.2324,0.5863604519508214,0.6873987208039943
0.2425,0.5802290734668044,0.6791386604294899
0.2526,0.5745397057924798,0.6711966792710661
0.2627,0.5692583320639484,0.6635611160025827
0.2728,0.5643538429457621,0.6562208296538342
0.2829,0.55979775916934,0.6491651684599477
0.293,0.5555639830800375,0.6423839406497763
0.3031,0.5516285759249256,0.6358673870603991
0.3132,0.5479695580072277,0.6296061554723191
0.3233,0.5445667291766626,0.623591276566817
0.3334,0.541401507424597,0.6178141414132077
0.3435,0.5384567836147397,0.612266480399525
0.3536,0.5357167906092049,0.6069403435254468
0.3637,0.5331669852504586,0.6018280819811309
0.3738,0.5307939418356585,0.5969223309400794
0.3839,0.5285852558744567,0.5922159934982264
0.394,0.526529457057192,0.587702225695194
0.4041,0.5246159304799909,0.5833744225570906
0.4142,0.5228348452786533,0.5792262051033843
0.4243,0.5211770899161603,0.5752514082632929
0.4344,0.5196342134507254,0.5714440696497979
0.4445,0.5181983721838951,0.5677984191418664
0.4546,0.5168622811524396,0.564308869227743
0.4647,0.5156191699847004,0.5609700060642977
0.4748,0.5144627426925507,0.5577765812093775
0.4849,0.5133871410149651,0.5547235039859614
0.495,0.5123869109690453,0.5518058344386352
0.5051,0.5114569722998196,0.5490187768445306
0.5152,0.5105925905517242,0.5463576737424121
0.5253,0.5097893515128425,0.5438180004450542
0.5354,0.5090431378081235,0.5413953600014508
0.5455,0.508350107440262,0.5390854785767402
0.5556,0.5077066740970116,0.5368842012190225
0.5657,0.507109489061681,0.5347874879835085
0.5758,0.5065554245796742,0.5327914103856556
0.5859,0.5060415585483763,0.5308921481561542
0.596,0.5055651604106529,0.5290859862717976
0.6061,0.5051236781438659,0.5273693122374329
0.6162,0.5047147262467788,0.5257386135953326
0.6263,0.5043360746361301,0.5241904756394673
0.6364,0.503985638373125,0.5227215793132755
0.6465,0.5036614681477254,0.5213286992706527
0.6566,0.5033617414554865,0.5200087020809839
0.6667,0.5030847544078898,0.5187585445601465
0.6768,0.5028289141227078,0.5175752722105055
0.6869,0.5025927316459778,0.5164560177540035
0.697,0.5023748153617162,0.5153979997435237
0.7071,0.5021738648496102,0.5143985212387642
0.7172,0.5019886651546355,0.513454968533911
0.7273,0.5018180814358988,0.5125648099254296
0.7374,0.5016610539650311,0.5117255945093062
0.7475,0.501516593447188,0.510934950998067
0.7576,0.5013837766401855,0.5101905865488725
0.7677,0.501261742249525,0.5094902855949272
0.7778,0.5011496870790777,0.5088319086733679
0.7879,0.5010468624190109,0.508213391243674
0.798,0.5009525706541831,0.5076327424915014
0.8081,0.5008661620777112,0.5070880441136619
0.8182,0.5007870318957489,0.5065774490807479
0.8283,0.5007146174107181,0.50609918037465
0.8384,0.50064839537132,0.5056515296989167
0.8485,0.5005878794786327,0.5052328561605655
0.8586,0.5005326180384781,0.5048415849225729
0.8687,0.5004821917510391,0.5044762058268487
0.8788,0.5004362116294201,0.5041352719880189
0.8889,0.5003943170394887,0.5038173983588395
0.899,0.5003561738539155,0.503521260268489
0.9091,0.5003214727138515,0.5032455919353886
0.9192,0.500289927392153,0.5029891849565454
0.9293,0.5002612732524888,0.5027508867757173
0.9394,0.5002352657990466,0.5025295991329614
0.9495,0.5002116793119037,0.5023242764983447
0.9596,0.5001903055634345,0.5021339244927764
0.9697,0.500170952611419,0.5019575982990573
0.9798,0.5001534436647668,0.5017944010663469
0.9899,0.5001376160180072,0.5016434823113098
1.0,0.5001233200509122,0.5015040363192417
