N,epsilon,delta,cpu_time,ram_bytes
1001,1.1953739089108148e-6,3.34915626657072e-6,1009.1257135,8050496037520
583,3.889886107434485e-6,3.0149853676286423e-6,357.537406084,2739882730256
381,1.3557054033790424e-6,2.3611489264988698e-6,131.676146292,1175753167744
269,7.121967192433195e-8,1.8744416093072346e-6,64.221777833,589768582656
199,2.979819822711566e-6,2.7178340891262426e-6,32.7258405,325320318768
155,4.9571203498620716e-6,1.7465929348372403e-6,26.020636167,198952192752
123,4.749312865959863e-6,1.673099093183948e-6,17.587547708,126712120768
99,7.9663906772397e-6,1.634637654591191e-6,12.237602334,83320077568
83,7.843065882673111e-6,2.725187341174841e-6,9.088899292,59416053792
71,1.5059360226833654e-5,2.881243671254141e-6,7.774544084,44264038736
59,1.735831990806302e-5,7.558105514617771e-6,5.36161825,31384025952
51,6.657002227717006e-6,4.068148108927888e-6,4.64644175,24136018768
45,1.322735089120464e-5,4.362322120856669e-6,4.711710833,19544014224
39,1.784263758578607e-5,1.3654089374937414e-6,3.855655541,15160009888
35,1.6710409034432563e-5,3.7128055339226356e-6,3.6127265,12728007488
31,2.0017499966097394e-5,4.010646665473647e-6,3.088088041,10424005216
29,2.3926152882734563e-5,4.324202516969884e-6,2.837254666,9464004272
25,2.844244865266214e-5,3.55483825096156e-6,2.774143375,7544002384
23,2.8341056243477634e-5,5.383494155139732e-6,2.640219583,6712001568
21,2.7943544327172396e-5,4.516965029510832e-6,2.571026167,6008000880
19,3.3667657821852154e-5,3.0714672265583472e-6,2.557395333,5304000192
17,2.8272619537689217e-5,5.298139324720226e-6,2.381246292,4599999504
15,4.1253443090088606e-5,1.8631314149779595e-6,1.550102042,4007998928
13,3.8710872371450015e-5,1.1952672232694622e-6,1.415126542,3399998336
11,5.936411337324468e-5,1.5508274299999877e-6,1.36517125,2935997888
