N,epsilon,cpu_time,ram_bytes
1001,1.1650493195530713e-9,0.125407458,53913792
583,3.439521735313229e-9,0.114122958,18753184
381,8.068192450681842e-9,0.006714,8025120
269,1.622082143112767e-8,0.003475542,4078512
199,2.9717370300490678e-8,0.00195475,2301488
155,4.912436040775331e-8,0.001244875,1400784
123,7.827355828181485e-8,0.000792125,907328
99,1.2130459552642457e-7,0.000557583,607136
83,1.7325878394165136e-7,0.000423292,447056
71,2.3774910689680662e-7,0.000335125,332576
59,3.4629445285504383e-7,0.000259916,239904
51,4.659579040817377e-7,0.000215,186448
45,6.016785349639971e-7,0.000184208,150432
39,8.066353974666423e-7,0.000155709,118688
35,1.0075386970727982e-6,0.000140417,99440
31,1.294021679057994e-6,0.0001235,81856
29,1.4854029356433257e-6,0.000116417,73536
25,2.0214891196619144e-6,0.000100375,58480
23,2.4054754647783987e-6,8.9541e-5,51680
21,2.9102060087680716e-6,8.55e-5,45088
19,3.5921475870779035e-6,7.825e-5,39088
17,4.545075149133517e-6,7.3459e-5,33360
15,5.93407082227778e-6,7.3458e-5,28160
13,8.07199986084444e-6,6.875e-5,23296
11,1.1611931157327291e-5,6.2958e-5,18896
