N,epsilon,cpu_time,ram_bytes
1001,4.4444443567406927e-8,2.443821925,162495000
661,1.0203039616895335e-7,0.049624956,26848016
469,2.0292039378563665e-7,0.030146719,13610688
349,3.6699390288987974e-7,0.012063036,7504608
271,6.096628210372284e-7,0.005903226,4549248
217,9.525978582857675e-7,0.003369583,3001792
177,1.4348006848208244e-6,0.002462903,1996032
147,2.0850234334630883e-6,0.003404132,1376080
123,2.9860469494372594e-6,0.001373993,955136
107,3.955525390990862e-6,0.002247851,737712
91,5.486940851199389e-6,0.000678666,548048
81,6.944400236852959e-6,0.000573706,436336
71,9.070219367405229e-6,0.000585525,331616
63,1.1561907747667745e-5,0.000581615,264544
57,1.4172151477388097e-5,0.000486354,221696
51,1.7777488056290717e-5,0.000436055,178352
45,2.2956358025768675e-5,0.000428364,143840
41,2.777707045495922e-5,0.000374584,121568
39,3.077783273393062e-5,0.000360444,109520
35,3.844539625225e-5,0.000394394,90320
33,4.340105093615366e-5,0.000631866,82960
29,5.668639651901534e-5,0.000297303,66448
27,6.574225725649763e-5,0.000274033,57776
25,7.715503630206421e-5,0.000269302,51952
23,9.18196351714918e-5,0.000282213,44400
21,0.00011109979469733233,0.000264812,39328
19,0.00013715696360987084,0.000274873,32912
17,0.00017358348454273904,0.00108325,28656
15,0.00022671024193305638,0.000627426,23504
13,0.0003085546712412715,0.000243712,19760
11,0.0004442634306066908,0.000238682,15536
