N,epsilon,cpu_time,ram_bytes
1001,5.3332871125051544e-6,0.759589042,162910480
807,8.209616130206219e-6,0.097310625,40073104
663,1.2169539949009032e-5,0.014882083,27408272
555,1.737668527404307e-5,0.012378917,19125776
473,2.3938549759704008e-5,0.006558417,13803136
407,3.235369058509632e-5,0.006408792,10347712
353,4.304106664992664e-5,0.004554292,7647520
311,5.5492741050677904e-5,0.002993833,6017024
275,7.103092549501178e-5,0.002293375,4660608
245,8.956861596707225e-5,0.001981833,3760624
219,0.00011220353880256414,0.001601583,3046816
197,0.00013879973233596747,0.001368791,2457456
179,0.00016828288885630197,0.001223084,2032736
163,0.00020315397467462825,0.001058208,1681808
149,0.000243390444755317,0.000914833,1406672
137,0.00028821561194242726,0.000781167,1195328
127,0.0003357535990478863,0.000671584,1026992
117,0.0003960984996379423,0.000588916,880896
107,0.0004742990456019,0.000538292,737712
101,0.0005328716796357385,0.000512291,672464
93,0.0006294754523481879,0.000465625,567248
87,0.000720266913862834,0.000428958,489296
81,0.0008322070275022007,0.000415291,436528
77,0.000921978512550057,0.000405292,390160
73,0.0010270906883875898,0.000346333,358880
69,0.0011512464774730681,0.000307,316976
65,0.00129933652620869,0.000281708,288816
61,0.0014779270998602698,0.000183625,251456
57,0.0016959986282578028,0.000188375,221888
55,0.0018235763643776486,0.000169042,205296
51,0.0021259739826366033,0.000154666,178352
49,0.0023061536964265775,0.000154292,167792
47,0.0025102152117467778,0.000144208,153552
45,0.0027425665716036733,0.000148291,144224
43,0.0030086800453081822,0.000129792,130992
41,0.003315415420741607,0.000132041,121760
39,0.0036714637084666038,0.000229916,109712
37,0.004087965254384445,0.000116708,101680
35,0.004579385033068769,0.000128792,90704
33,0.005164774721584557,0.000111792,83152
31,0.005869629275808901,9.5208e-5,73296
29,0.006728679696262624,0.000105458,66832
27,0.0077902005349769,9.275e-5,58160
25,0.009122844092132893,9.3041e-5,52144
23,0.010826837448623379,9.0625e-5,44592
21,0.013053016013118708,7.5875e-5,39712
19,0.016036587760352786,8.7292e-5,33296
17,0.020160091756217358,7.7541e-5,28848
15,0.026077929759237405,8.4625e-5,23504
13,0.034980735143504034,7.5375e-5,19760
11,0.049206893752620696,7.5083e-5,15536
