N,epsilon,cpu_time,ram_bytes
1001,5.608583560934971e-9,0.0858025,53913792
807,8.633404279747963e-9,0.087917708,35356960
663,1.2797783466380042e-8,0.057226959,24296864
555,1.827381980117108e-8,0.044977375,17000160
473,2.5174595950877723e-8,0.05792325,12301136
407,3.402447343690916e-8,0.028263959,9270000
353,4.526414382108586e-8,0.020374458,6864752
311,5.83595281303933e-8,0.016232459,5431600
275,7.470134921232178e-8,0.007193167,4221936
245,9.419834068319938e-8,0.007868209,3428656
219,1.1800537181728708e-7,0.005275459,2795488
197,1.4597989859120207e-7,0.005045584,2265696
179,1.7699238943482805e-7,0.005214083,1884128
163,2.1367417047718222e-7,0.011415625,1567120
149,2.5600246866250107e-7,0.0048045,1318208
137,3.031612190959344e-7,0.002788792,1126752
127,3.531776985745266e-7,0.001906833,973472
117,4.166742642846107e-7,0.001044542,840912
107,4.989681146344521e-7,0.001215334,709312
101,5.606133720832442e-7,0.001568625,635904
93,6.622973870243924e-7,0.001404875,552816
87,7.578776955408185e-7,0.000901541,479520
81,8.75741182101702e-7,0.000449791,423472
77,9.702781588905012e-7,0.000649291,387696
73,1.0809873604179777e-6,0.000464125,351504
69,1.211778083099339e-6,0.000605375,318944
65,1.3678159348527418e-6,0.000356417,286160
61,1.55604017010614e-6,0.0003765,253888
57,1.7859476302774921e-6,0.000301959,225552
55,1.920486700305405e-6,0.000492458,212320
51,2.2394938662186017e-6,0.000297583,186448
49,2.429643125991509e-6,0.000249084,173776
47,2.645061396540846e-6,0.00023925,162192
45,2.8904290505346197e-6,0.000221334,150432
43,3.171561516479117e-6,0.000320791,139600
41,3.4957560359518765e-6,0.000309958,128704
39,3.8722684764976824e-6,0.000194916,118688
37,4.31297901782689e-6,0.000181666,108656
35,4.833337202862721e-6,0.000203916,99440
33,5.453728631866033e-6,0.00022825,90272
31,6.201492469574959e-6,0.000215333,81856
29,7.113968926019441e-6,0.000223292,73536
27,8.243223201554477e-6,0.000136458,65936
25,9.663586232526953e-6,0.000127666,58480
23,1.1484102819534124e-5,0.000113625,51680
21,1.3869893420605072e-5,0.000189209,45088
19,1.7080511878978155e-5,0.000139584,39088
17,2.154261896104071e-5,0.000165583,33360
15,2.7996858073160107e-5,8.6875e-5,28160
13,3.781918527395337e-5,7.5166e-5,23296
11,5.379760056421637e-5,7.4917e-5,18896
