N,epsilon,delta,cpu_time,ram_bytes
1001,0.0002949028818949167,0.0004393717695605498,320.525121924,8048944048144
661,0.0003640063292301781,0.0004399997100896959,107.443925671,3517323519248
469,0.00024428034970628746,0.0004398255295704004,42.608349651,1775481778944
349,0.0002571556921875727,0.0004392547916816501,21.798820511,986360990784
271,0.00034253696402862516,0.0004390988043476914,14.691230795,596936601984
217,0.00046064472637107843,0.00043880288999634406,9.864497452,384200389680
177,0.00029220748257780075,0.0004391821008827698,6.563535983,256840262640
147,0.0006503966415264593,0.00043861135515395073,4.98953032,178120184160
123,0.0008670053164350599,0.0004384788372052269,4.540869614,125608131840
107,0.0007139326816603455,0.0004385200105430907,4.50729289,95800102160
91,0.0006725825481955238,0.00043849723697311695,4.248037672,69752076240
81,0.0007641222507911941,0.00043819272566940375,4.092845791,55672062240
71,0.001175150595651917,0.00043756278587200854,4.164477471,43096049744
63,0.0010524586229402801,0.00043747305502399417,4.165405058,34312041024
57,0.001175818279437929,0.0004371603980807653,4.126240023,28408035168
51,0.0010286584311769154,0.0004375337868104581,3.960769922,23032029840
45,0.0015936470074637379,0.0004362559164105486,3.785542299,18312025168
41,0.0015558760343515198,0.00043671944300363537,3.73257325,15384022272
39,0.0016158249516684433,0.00043658737827629776,3.603558685,13992020896
35,0.0014624508312753796,0.00043650461913439414,3.565710629,11496018432
33,0.0017949155496360335,0.000435921388537044,3.517386674,10392017344
29,0.0016287760460149767,0.00043619951710134467,3.43473466,8232015216
27,0.0015779485036783662,0.0004362385444668661,3.366962588,7272014272
25,0.0016759294243650974,0.00043627723126359204,3.298885584,6376013392
23,0.0015971108867140083,0.00043622003516052783,3.202457231,5544012576
21,0.0017962551845866572,0.0004360757821006205,3.159556318,4776011824
19,0.001681829763007389,0.00043623218895043363,3.155250502,4072011136
17,0.0011537145036268342,0.00043725448462615115,2.98607153,3432010512
15,0.0011485603609186607,0.00043748962701056017,3.195011074,2904010000
13,0.0002493886022673432,0.0004394814872051887,2.866634942,2296009408
11,0.0013616929922913613,0.0004427072135086519,2.930133193,1832008960
