beta,f_fb,f_ow
0.0001,0.9999938124824748,0.9999938735882493
0.0002,0.9999754964339058,0.9999759744156931
0.0003,0.9999454140119584,0.999946991506156
0.0004,0.9999039174367326,0.9999075743138419
0.0005,0.9998513492297324,0.9998583349423229
0.0006,0.9997880424491796,0.9997998502452303
0.0007,0.9997143209215783,0.9997326638142348
0.0008,0.9996304994694584,0.9996572878597225
0.0009,0.9995368841352277,0.9995742049894041
0.001,0.9994337724010885,0.9994838698898889
0.0011,0.9993214534049696,0.9993867109160871
0.0012,0.9992002081524491,0.9992831315930969
0.0013,0.999070309724642,0.9991735120350534
0.0014,0.9989320234820391,0.9990582102852261
0.0015,0.9987856072642961,0.9989375635814668
0.0016,0.9986313115859671,0.9988118895509253
0.0017,0.9984693798281989,0.9986814873377787
0.0018,0.9983000484263946,0.9985466386675426
0.0019,0.9981235470538686,0.9984076088513623
0.002,0.9979400988015193,0.9982646477335273
0.0021,0.9977499203535474,0.9981179905852854
0.0022,0.9975532221592532,0.9979678589478871
0.0023,0.9973502086009548,0.9978144614276419
0.0024,0.9971410781580614,0.9976579944456289
0.0025,0.9969260235673524,0.9974986429445677
0.0026,0.9967052319795064,0.9973365810552274
0.0027,0.9964788851119285,0.997171972724626
0.0028,0.996247159397929,0.9970049723081598
0.0029,0.9960102261323073,0.9968357251276784
0.003,0.9957682516133937,0.9966643679974274
0.0031,0.9955213972816089,0.9964910297196659
0.0032,0.9952698198545945,0.9963158315516731
0.0033,0.9950136714589777,0.9961388876457705
0.0034,0.9947530997588266,0.9959603054638858
0.0035,0.9944882480808575,0.9957801861681124
0.0036,0.9942192555364525,0.9955986249886305
0.0037,0.9939462571405537,0.9954157115702862
0.0038,0.9936693839274878,0.9952315302990488
0.0039,0.993388763063789,0.9950461606094977
0.004,0.9931045179580764,0.9948596772744336
0.0041,0.9928167683680502,0.9946721506776377
0.0042,0.9925256305046659,0.9944836470707489
0.0043,0.9922312171335481,0.994294228815179
0.0044,0.9919336376737027,0.9941039546099253
0.0045,0.9916329982935878,0.9939128797060964
0.0046,0.9913294020046037,0.9937210561089234
0.0047,0.9910229487520592,0.9935285327679746
0.0048,0.9907137355036713,0.9933353557562652
0.0049,0.9904018563356584,0.9931415684388994
0.005,0.9900874025164805,0.9929472116318563
0.0051,0.9897704625882865,0.9927523237514917
0.0052,0.9894511224461159,0.9925569409552958
0.0053,0.98912946541492,0.9923610972744147
0.0054,0.9888055723244445,0.9921648247384147
0.0055,0.9884795215820362,0.9919681534927449
0.0056,0.9881513892434179,0.9917711119093189
0.0057,0.9878212490814857,0.9915737266906192
0.0058,0.9874891726531795,0.9913760229677046
0.0059,0.9871552293644724,0.9911780243924705
0.006,0.986819486533529,0.9909797532245045
0.0061,0.9864820094520821,0.9907812304128483
0.0062,0.9861428614450662,0.9905824756729659
0.0063,0.9858021039285643,0.9903835075591968
0.0064,0.9854597964661003,0.990184343532961
0.0065,0.9851159968233315,0.9899850000269615
0.0066,0.9847707610211751,0.9897854925056189
0.0067,0.9844241433874139,0.989585835521961
0.0068,0.9840761966068226,0.989386042771173
0.0069,0.9837269717698532,0.9891861271410042
0.007,0.9833765184199179,0.9889861007592151
0.0071,0.9830248845993071,0.9887859750382391
0.0072,0.9826721168937832,0.9885857607172235
0.0073,0.9823182604758807,0.9883854679015978
0.0074,0.9819633591469527,0.9881851061003223
0.0075,0.9816074553779958,0.9879846842609463
0.0076,0.981250590349288,0.9877842108026087
0.0077,0.9808928039888719,0.987583693647098
0.0078,0.980534135009916,0.98738314024809
0.0079,0.9801746209469849,0.9871825576186658
0.008,0.9798142981912472,0.9869819523572149
0.0081,0.9794532020246568,0.986781330671813
0.0082,0.9790913666531255,0.9865806984031723
0.0083,0.9787288252387293,0.986380061046238
0.0084,0.978365609930963,0.9861794237705191
0.0085,0.9780017518970763,0.9859787914392227
0.0086,0.97763728135152,0.9857781686272648
0.0087,0.9772722275845184,0.9855775596382208
0.0088,0.9769066189898038,0.985376968520282
0.0089,0.9765404830915289,0.985176399081272
0.009,0.9761738465703835,0.9849758549027822
0.0091,0.97580673528894,0.9847753393534747
0.0092,0.975439174316246,0.9845748556016047
0.0093,0.97507118795169,0.9843744066268053
0.0094,0.974702799748157,0.9841739952311813
0.0095,0.9743340325344978,0.9839736240497486
0.0096,0.9739649084373302,0.9837732955602623
0.0097,0.9735954489021915,0.9835730120924632
0.0098,0.9732256747140625,0.9833727758367863
0.0099,0.9728556060172785,0.9831725888525515
0.01,0.9724852623348483,0.9829724530756773
