N,epsilon,cpu_time,ram_bytes
1001,6.100180003529338e-10,0.134199,53913792
583,1.8009289201391626e-9,0.032768042,18753184
381,4.224498188267612e-9,0.007556666,8025120
269,8.493220026996208e-9,0.003226084,4078512
199,1.556005070785162e-8,0.001849958,2301488
155,2.5721667396054428e-8,0.001172,1400784
123,4.098450140614589e-8,0.01915025,907328
99,6.35163205202505e-8,0.010089375,607136
83,9.072094465221249e-8,0.133804041,447056
71,1.2449056546871384e-7,0.018310167,332576
59,1.8133093712364567e-7,0.019121334,239904
51,2.439960431287688e-7,0.019601834,186448
45,3.150733377352788e-7,0.001854917,150432
39,4.2241669635581787e-7,0.011755125,118688
35,5.276450511632084e-7,0.026759625,99440
31,6.777116917672038e-7,0.000275542,81856
29,7.779707402317443e-7,0.013302333,73536
25,1.0588488695234452e-6,0.000542292,58480
23,1.2600701329496195e-6,0.000223375,51680
21,1.5246092532269152e-6,0.000660167,45088
19,1.8821075038882442e-6,0.000678125,39088
17,2.381819155589929e-6,0.000594375,33360
15,3.1105224467132623e-6,6.8042e-5,28160
13,4.232875678064375e-6,5.6458e-5,23296
11,6.093214430237903e-6,0.000396541,18896
