N,epsilon,delta,cpu_time,ram_bytes
1001,0.010814033145340917,0.010048727367997279,7.725553,80501877216
661,0.01224525591675179,0.010008451260063283,3.209003667,35178628064
469,0.011300181194427142,0.010046210868312052,1.982565,17758487760
349,0.010319658171390524,0.01000716985225885,1.029298417,9868419792
271,0.019027687338919578,0.010030135112294607,0.723313791,5974431056
217,0.015367562499061408,0.009971630229282474,0.432084916,3843018368
177,0.009286581746237954,0.009993217950338624,0.284881458,2569291328
147,0.0036956007008991324,0.010019250121057695,0.1878635,1781372784
123,0.013544446817930855,0.010077535079097491,0.145041875,1256200464
107,0.024344717123459585,0.010060544812934263,0.119812666,958090784
91,0.008570853397274567,0.0100800198847465,0.092413208,697584864
81,0.006994704371408372,0.010080752281862141,0.103696291,557410928
71,0.005272483620304103,0.009993860126329567,0.086855458,431638432
63,0.017304835921646007,0.010021917866262208,0.076864166,343789712
57,0.0035510859799803467,0.010049291084103748,0.053043958,284743856
51,0.010382600046718751,0.009952009274741288,0.051631959,230338464
45,0.006180837116973612,0.010087703819467895,0.033908958,184413920
41,0.013022636809347966,0.009948658083355865,0.028218041,154490960
39,0.007060435868898302,0.010033610053519456,0.04912525,140569584
35,0.0026429883278898223,0.010009451625783226,0.020419167,116247184
33,0.01825429302394754,0.009885126303538272,0.038335875,104566032
29,0.01649507898402769,0.00999629590053401,0.016210042,83603968
27,0.003121011650539396,0.009998863251326701,0.01543275,74003024
25,0.0027502339568574534,0.010048625902891094,0.028249708,64402080
23,0.001674607184970808,0.010031930943351015,0.027643708,56081264
21,0.005507544323767127,0.010071395864038678,0.032810333,49040576
19,0.009053540726683428,0.010037699669540559,0.035179584,41999888
17,0.006203221878185418,0.010015980786618228,0.032854583,34959200
15,0.008764788522004744,0.009942253608266708,0.012646167,29038624
13,0.015553250115576652,0.009939057954158743,0.012776583,22958032
11,0.01930397368621555,0.00996682596610933,0.011950666,18317584
