N,epsilon,cpu_time,ram_bytes
1001,1.3333330771018559e-7,0.036038958,61316752
661,3.060910766612934e-7,0.03659675,27272720
469,6.087607415538947e-7,0.025055834,13611072
349,1.1009802723463843e-6,0.005573708,7505248
271,1.828984503580714e-6,0.002752125,4550080
217,2.8577839084365176e-6,0.001838708,3002048
177,4.304380128055228e-6,0.001852625,1996288
147,6.2550239996810795e-6,0.00106925,1376144
123,8.958045885593117e-6,0.000724167,955136
107,1.1866409539297692e-5,0.000940958,737712
91,1.64605019194711e-5,0.000551125,548048
81,2.083268711955051e-5,0.000886792,436528
71,2.7209781951405505e-5,0.00041375,331808
63,3.4684299608897515e-5,0.000233625,264736
57,4.251431545157587e-5,0.000197125,221888
51,5.332909850898611e-5,0.000158791,178352
45,6.886346195505615e-5,0.000162208,144224
41,8.332299487276825e-5,0.000154792,121760
39,9.232341067119455e-5,0.000151958,109712
35,0.0001153204494593546,0.000129708,90704
33,0.00013018309473122224,0.000130541,83152
29,0.00017002497385320807,0.000125792,66832
27,0.00019718075218643334,0.00010825,58160
25,0.00023140172719392536,0.000112625,52144
23,0.0002753691454092223,0.000107958,44592
21,0.0003331679801907201,8.8667e-5,39712
19,0.00041127063909719247,0.000106208,33296
17,0.0005204297530140074,8.8792e-5,28848
15,0.0006795837837428145,9.0625e-5,23504
13,0.0009246511896821793,8.5917e-5,19760
11,0.0013306916583143008,8.3583e-5,15536
