N,epsilon,cpu_time,ram_bytes
1001,1.6628885287869474e-10,0.440845292,93953216
583,4.909269315525831e-10,0.044380291,18753184
381,1.15158397771702e-9,0.006926292,8025120
269,2.315224722921307e-9,0.020606333,4078512
199,4.2416252595480735e-9,0.008692667,2301488
155,7.011664919170204e-9,0.020948125,1400784
123,1.1172305804428062e-8,0.027718208,907328
99,1.731450778324983e-8,0.01077225,607136
83,2.4730584604831365e-8,0.000598625,447056
71,3.3936397938299236e-8,0.019832042,332576
59,4.943168258391315e-8,0.000406625,239904
51,6.651519731461715e-8,0.000679375,186448
45,8.589244896737893e-8,0.004557166,150432
39,1.1515752137716632e-7,0.000274583,118688
35,1.4384701288499643e-7,0.000125458,99440
31,1.8476299910158013e-7,0.00907225,81856
29,2.121000000833812e-7,9.6291e-5,73536
25,2.886902117326657e-7,0.0002175,58480
23,3.435639701158444e-7,0.000224292,51680
21,4.1571043017096866e-7,0.000186125,45088
19,5.13219460222591e-7,0.000199042,39088
17,6.495375527003528e-7,0.000198458,33360
15,8.483644789814099e-7,6.1708e-5,28160
13,1.1546950410064786e-6,5.8083e-5,23296
11,1.6627052708617093e-6,5.3292e-5,18896
