N,epsilon,delta,cpu_time,ram_bytes
1001,8.482343278388194e-6,3.2635639880840623e-6,942.065583583,8050514807792
583,7.712868656964798e-6,4.753404792684056e-6,329.168889083,2739882730256
381,3.126899039917182e-6,4.6523001769166355e-6,125.497876417,1175753167744
269,4.954494361755911e-6,3.3773113052989413e-6,105.252750875,589768582656
199,7.012585434540285e-6,5.1965896872306385e-6,82.229283417,325320318768
155,1.2522063967973326e-6,3.835347004390976e-6,33.342730125,198952192752
123,3.221049747250161e-6,2.6479741407375e-5,20.640059375,126712120768
99,3.1706647425861406e-6,4.196386443952575e-6,31.433698542,83320077568
83,9.566436847766622e-6,5.688095028170384e-6,17.159438333,59416053792
71,1.0154707392906618e-5,4.060086653732215e-6,18.426134959,44264038736
59,7.0234257983476885e-6,2.7509548588731562e-6,18.37306725,31384025952
51,2.9180170694353493e-6,2.9660103701298914e-6,9.667222708,24136018768
45,9.196446555968084e-6,2.3788029498232347e-6,20.7882385,19544014224
39,1.5085361758713101e-5,2.3194326042852988e-6,9.836723083,15160009888
35,5.481938035331423e-6,4.462072302958245e-6,4.029484917,12728007488
31,4.003129118312818e-6,4.603668936167458e-6,5.262166708,10424005216
29,6.1218816475327556e-6,2.4041854566550177e-6,3.280581292,9464004272
25,1.5144027820797167e-5,3.2617012222438896e-6,3.523754708,7544002384
23,4.9865010883677175e-6,3.4388231703392303e-6,3.44064175,6712001568
21,1.2673547314454292e-5,4.529920246281602e-6,3.581174208,6008000880
19,6.394481002553161e-6,4.9827794353282075e-6,3.555763375,5304000192
17,8.739127054489985e-6,4.6818185814781715e-6,3.30693475,4599999504
15,1.552455989080999e-5,4.152391708803062e-6,1.642897791,4007998928
13,1.715218940098624e-5,2.5358664931422575e-6,0.998238292,3399998336
11,2.3627168833639417e-5,2.2369666054208333e-6,1.259094292,2935997888
