N,epsilon,delta,cpu_time,ram_bytes
1001,0.0021293437847178416,0.00316943631614182,76.041842541,804946437216
661,0.0021196746627202934,0.0031678927140158064,53.933393958,351754708064
469,0.004669212539966044,0.0031661988140726594,22.830826292,177568967760
349,0.004657169236177578,0.003165163723526441,11.016039167,98675379792
271,0.0015725093196989751,0.0031670579895469444,7.844935292,59738991056
217,0.008926762281416898,0.003167566757402143,4.209345167,38426778368
177,0.004325452743582036,0.0031683639571138725,2.76628425,25690651328
147,0.0030471308722927583,0.0031642537951945696,2.72290875,17812172784
123,0.0015278784816846777,0.003175304282238913,2.039445834,12560920464
107,0.004049284466865394,0.0031637530617677745,1.075847375,9580090784
91,0.008984625940123244,0.0031682520362157794,1.466173416,6975264864
81,0.0024015887724889266,0.003167467312441301,1.030504375,5573650928
71,0.0004843327005238373,0.003170149031235889,0.67403775,4316038432
63,0.002155511905240543,0.0031657984938568743,0.645676542,3437629712
57,0.0008542517617827122,0.003169216993533154,0.477602291,2847223856
51,0.0034432304391480277,0.0031612224968290137,0.491603709,2303218464
45,0.004174472045086198,0.0031608569476610244,0.493042042,1844013920
41,0.005746567323040861,0.0031699685771885036,0.486516584,1544810960
39,0.00534466056198741,0.0031597719899337344,0.456963084,1405609584
35,0.005905513554128762,0.0031529303174954006,0.407687542,1162407184
33,0.0032047573017219134,0.003162268215125506,0.422990208,1045606032
29,0.005504271818559214,0.003157318213029649,0.225187875,836003968
27,0.00466193856362469,0.0031574789681544377,0.350068834,740003024
25,0.0031103681136400584,0.0031618807531800484,0.199459208,644002080
23,0.004948393306021252,0.0031588564434443253,0.157085083,560801264
21,0.00570809883388271,0.0031561923758576423,0.296408125,490400576
19,0.0052707035123453405,0.0031550056196048303,0.27480625,419999888
17,0.008910431115905518,0.003147959598786267,0.17337975,349599200
15,0.008273988143384368,0.0031453363571372715,0.242484167,290398624
13,0.009057888579619705,0.0031428235946284427,0.066342833,229598032
11,0.010527931885760353,0.003138127942526249,0.05848025,183197584
