N,epsilon,delta,cpu_time,ram_bytes
1001,8.925378851620231e-6,4.930922616769317e-6,1043.126614541,8050514798864
807,6.72831255994169e-6,3.875355678631322e-6,2338.565847042,5237933226512
663,4.6846807513941096e-6,3.7333613175996666e-6,1251.973308834,3539883529616
555,8.193194422110607e-6,4.4005282129473995e-6,701.570058666,2484298474896
473,4.498983021771923e-6,6.044919516903679e-6,217.20887675,1807401798656
407,7.4799313438385415e-6,3.111955942221068e-6,158.24246625,1340313332096
353,3.2910567752418576e-7,3.202573083846714e-6,122.835673792,1010409002624
311,3.3047159293233083e-7,4.698063432857051e-6,83.110214291,785816778368
275,3.745903946704013e-6,3.3657047363222393e-6,63.083833917,615928608768
245,4.838975783077525e-6,3.063509777491358e-6,46.228380625,489688482768
219,5.294093231231752e-6,3.7624043257287195e-6,36.467449834,392296385584
197,1.8303693936253688e-6,3.6078484243639064e-6,28.497264292,318376311840
179,4.9605946668237915e-6,3.30103421935453e-6,29.478021083,263656257264
163,7.4623727112165166e-6,2.93814626484838e-6,27.204438334,219368213104
149,6.799237517516746e-6,6.553696975603489e-6,64.847002833,183976177824
137,3.2872090222278353e-6,3.1316212079106157e-6,58.096908792,156248150192
127,1.7025280485877982e-6,1.5524355726531293e-5,33.166209333,134808128832
117,5.6795099421600285e-6,4.862736362723587e-6,24.724093042,114904109008
107,2.6168329976764945e-6,4.4878718565343815e-6,34.312167583,96904091088
101,6.970976691491646e-6,2.8319048476451603e-6,28.442893125,86536080768
93,3.2311084454686823e-6,2.855940949851921e-6,38.687168959,73816068112
87,6.106032128577765e-6,4.482726985216793e-6,23.370573833,65192059536
81,4.398000056027075e-6,1.3285461429527263e-5,8.855470292,56840051232
77,1.913996638900251e-6,2.515176941522702e-6,8.017450708,51496045920
73,3.383531189638361e-6,4.3161813361918906e-6,7.654297542,46728041184
69,3.759807906955338e-6,3.902401460850684e-6,7.189872375,41944036432
65,4.733874004034619e-6,5.224221482400742e-6,6.8453055,37544032064
61,1.8585335956576439e-6,2.996528516974746e-6,5.568359875,33320027872
57,5.302006147754876e-6,3.842304409124537e-6,5.14695125,29576024160
55,6.25263490087653e-7,4.972066248473543e-6,4.759123791,27624022224
51,1.860806445770063e-6,4.820025396217004e-6,4.91066975,24136018768
49,1.1697605564711003e-5,2.321603814056615e-6,4.688573708,22440017088
47,2.634490757352732e-6,4.736437590604305e-6,4.763346792,20888015552
45,1.047843340725311e-5,4.464443763619178e-6,4.635294208,19544014224
43,4.55634067577481e-6,4.495461953920859e-6,4.34032325,17976012672
41,5.804006044634018e-6,4.477135292862692e-6,3.976301833,16552011264
39,1.3926330152858476e-6,4.124652558923258e-6,3.704274667,15160009888
37,9.219584340907073e-6,4.553296710892438e-6,3.785933417,13992008736
35,6.706158434955154e-6,4.725868411727614e-6,3.31007575,12728007488
33,1.2498064953595878e-5,4.653002890752786e-6,3.530050791,11560006336
31,4.5529097115661715e-6,4.901922486064376e-6,2.845188083,10424005216
29,4.894614163089782e-6,2.127582821190117e-6,2.759756458,9464004272
27,8.68167598513064e-6,2.101538522947084e-6,2.713451625,8504003328
25,4.774544430088264e-6,5.947547771858832e-6,2.774982792,7544002384
23,5.327883384114495e-6,4.398153101084171e-6,2.57857875,6712001568
21,5.126455697628465e-6,6.103446856553432e-6,2.400834125,6008000880
19,1.4741154043317309e-5,4.9403244924109205e-6,2.566857833,5304000192
17,7.491120651207356e-6,5.127401022165072e-6,2.392472125,4599999504
15,2.012704145411786e-5,5.467828206986337e-6,1.462384125,4007998928
13,1.7738508175881714e-5,7.927666007278756e-6,1.320423958,3399998336
11,2.454924713063958e-5,2.231874753236433e-6,1.269197083,2935997888
