N,epsilon,delta,cpu_time,ram_bytes
1001,0.004611816854553128,0.006075353878268016,7.75877675,80501877216
661,0.0013345435743506153,0.006025082210637789,3.212384958,35178628064
469,0.007005708918979761,0.0060039718230340015,1.772978,17758487760
349,0.006845589842801654,0.006038209474710766,1.225105084,9868419792
271,0.0007254890795667115,0.006029146168549605,0.772915333,5974431056
217,0.005293352592343238,0.005963763003001432,0.470313583,3843018368
177,0.003671263908073484,0.006048031936119235,0.301816125,2569291328
147,0.00273066953376734,0.005995371855089069,0.203087209,1781372784
123,0.0060039957014539295,0.00595928757313937,0.138980542,1256200464
107,0.0058822746653564364,0.005977193858650467,0.176043958,958090784
91,0.008565019817547231,0.005981908692068719,0.095502708,697584864
81,0.0016146077983057068,0.006017003793109514,0.072565625,557410928
71,0.003020557441680004,0.00603386544226989,0.069998708,431638432
63,0.0026422688143652316,0.005997021523708597,0.0638245,343789712
57,0.009293160015887227,0.0060546142514470245,0.101162,284743856
51,0.009457050622133178,0.006002591488745644,0.046909333,230338464
45,0.003970374680984327,0.006029754220022139,0.153338333,184413920
41,0.008339697384981203,0.0060336802254126725,0.021404625,154490960
39,0.0072231931431152524,0.005997833596091701,0.020639959,140569584
35,0.011241597124810862,0.005952683861935399,0.083754334,116247184
33,0.005057939870679718,0.0059568217016673,0.044035542,104566032
29,0.010010247684929844,0.0059558417942626365,0.02922025,83603968
27,0.00822675318468156,0.0059054007789169066,0.032500583,74003024
25,0.0010187381463571139,0.006033002405454635,0.022175417,64402080
23,0.009479407064295262,0.005950113723370347,0.020458583,56081264
21,0.01157065134920625,0.005875725898675589,0.015086333,49040576
19,0.004049732119579807,0.005992559412170457,0.032023833,41999888
17,0.006920503783456117,0.005936133599694802,0.01553,34959200
15,0.009580188235657748,0.005879415962305472,0.012174583,29038624
13,0.004804282053538596,0.0059609928770517585,0.01140125,22958032
11,0.00822408960494162,0.005929597719083332,0.01070625,18317584
