N,epsilon,delta,cpu_time,ram_bytes
1001,2.566118272629555e-6,1.1741334744111415e-6,981.46276825,8050496037520
807,7.625101339420435e-8,2.73635742739799e-6,649.855876125,5237933226512
663,1.308241866555039e-6,2.813572886096972e-6,2319.193316208,3539883529616
555,1.0266056894512964e-6,1.1740091897357507e-6,342.135987208,2484298474896
473,1.8512974806608774e-7,1.1739178232517023e-6,327.470032833,1807401798656
407,1.765929088068745e-6,2.5810311008628234e-6,244.21429725,1340313332096
353,1.3554650085450482e-6,1.1715628898286365e-6,198.396574791,1010409002624
311,3.75381933265265e-6,6.910337126560928e-6,174.600796208,785816778368
275,1.8268754903851518e-7,4.1776945391282065e-6,131.931845125,615928608768
245,1.3585784172616059e-6,1.1684049475146798e-6,118.4510095,489688482768
219,1.6112902869948667e-6,1.165997234645558e-6,96.722153667,392296385584
197,2.5088306339030672e-6,1.1630504758967904e-6,70.756144667,318376311840
179,2.0887471327652586e-6,2.499205487770303e-6,81.448616834,263656257264
163,2.5534725984697667e-6,1.1605480203636584e-6,65.460624875,219368213104
149,9.835073961862976e-7,5.859256140243461e-7,52.654967125,183976177824
137,1.8764928655915536e-6,1.1547428378278995e-6,35.927392042,156248150192
127,2.4799077100432067e-6,1.8230294119714657e-6,29.17139375,134808128832
117,3.0628284993747285e-6,1.1500101074226306e-6,25.497656917,114904109008
107,3.5874517715300614e-6,1.1453259526588595e-6,22.523643417,96904091088
101,3.854460034859453e-6,1.3750405959669501e-5,27.193724083,86536080768
93,2.833173419486288e-6,5.612927324066293e-7,24.486186041,73816068112
87,3.3116847543710186e-6,1.136701804883957e-6,17.006909834,65192059536
81,2.300708865304003e-6,7.1616990579529e-6,14.169127791,56840051232
77,2.707955068286009e-6,1.1286528574793244e-6,12.300727708,51496045920
73,4.791645355883475e-6,5.259334507277001e-7,13.014061083,46728041184
69,4.8263771752271674e-6,1.128517405715959e-6,11.868148542,41944036432
65,4.912255853764005e-6,1.5070771981628993e-6,11.345737125,37544032064
61,3.4646443423096464e-6,2.308462433580561e-6,7.835543334,33320027872
57,5.305409736964333e-6,5.050184531970347e-7,7.257083084,29576024160
55,3.2873918167797582e-6,3.2993257240806147e-6,6.799374334,27624022224
51,4.442095310458893e-6,3.3527984288113213e-6,6.383200709,24136018768
49,7.264845383142129e-6,2.058471498987051e-6,6.212040458,22440017088
47,5.641025020875296e-6,2.6889567880389554e-6,5.986065791,20888015552
45,3.3500105050150624e-6,3.301626448102116e-6,7.037779166,19544014224
43,6.185393933326543e-6,1.4953371742848028e-6,6.566135792,17976012672
41,8.744480768024434e-6,4.385965250918009e-6,7.248368416,16552011264
39,4.7840977610837854e-6,3.173777397961448e-6,6.792813958,15160009888
37,5.285211753005991e-6,4.716537424991834e-6,5.650197666,13992008736
35,8.25606296372759e-6,1.7949166681859812e-6,5.967617417,12728007488
33,6.249150393217258e-6,2.7399634617436813e-6,4.907279791,11560006336
31,6.956333937542939e-6,2.2811680564414495e-6,4.795829083,10424005216
29,7.290461311094956e-6,1.095256815431542e-6,4.528869583,9464004272
27,6.4351367793820865e-6,3.3690344605040726e-6,4.597448958,8504003328
25,4.411082592695534e-6,1.7789392726128383e-6,3.69630225,7544002384
23,8.179138838095154e-6,4.3024990415517633e-7,3.460778625,6712001568
21,8.306553116657114e-6,4.247289963285704e-7,3.339346416,6008000880
19,6.442597532344154e-6,2.8594694112249296e-6,3.256355167,5304000192
17,7.889825942865578e-6,1.0836037674713542e-6,3.013955209,4599999504
15,5.528452613628263e-6,5.114149309311016e-6,2.017152917,4007998928
13,1.2959406870951987e-6,1.342049746021128e-6,1.949819209,3399998336
11,4.932971718647203e-6,3.9783972133536794e-7,1.855083125,2935997888
