N,epsilon,delta,cpu_time,ram_bytes
1001,0.003898075059317422,0.004363780773319427,8.660675542,80501877216
661,0.00436147783835807,0.004351794801145489,3.366646958,35178628064
469,0.0019216945017782594,0.004371920185126258,1.787519459,17758487760
349,0.008585162100412424,0.004434846148308927,0.966299667,9868419792
271,0.002814149921047427,0.004334190682158092,0.71615625,5974431056
217,0.003521291626878672,0.004389249451939105,0.435783542,3843018368
177,0.007128820437818173,0.004346232929073767,0.291268375,2569291328
147,0.002278549011351807,0.004397295012682969,0.190995292,1781372784
123,0.0018915852944313236,0.004403507811414897,0.137131625,1256200464
107,0.0020904136009156455,0.004370917828771756,0.114121584,958090784
91,0.0031545161061795218,0.004389099257259519,0.07778075,697584864
81,0.0016550809817454755,0.004396329327026734,0.080927792,557410928
71,0.0066541295384333204,0.004334260746903746,0.082770542,431638432
63,0.0110258842955778,0.004339392419347273,0.060192708,343789712
57,0.006851958870166827,0.004358722044086414,0.040750625,284743856
51,0.003827165865570439,0.004363997700115122,0.095203875,230338464
45,0.0040369415433999245,0.004351918833878259,0.0366015,184413920
41,0.002927309311077161,0.004378137220961519,0.064488625,154490960
39,0.0009259168997970798,0.004418711697259373,0.032012041,140569584
35,0.010403881299620044,0.004365798948162934,0.020171125,116247184
33,0.005647425017204306,0.004389028008065638,0.022165709,104566032
29,0.0161265669695999,0.004342186916397637,0.043591708,83603968
27,0.0031612160550220625,0.004334221753715524,0.01568275,74003024
25,0.0015918546214621968,0.004381756369529226,0.015194375,64402080
23,0.007615211721653562,0.004340222873433524,0.015398916,56081264
21,0.0036200393118503544,0.004426779373440019,0.015122333,49040576
19,0.004949283544309793,0.004308889598666277,0.019292584,41999888
17,0.004869546347756666,0.004322359396056837,0.0152565,34959200
15,0.003752536571464504,0.0043252501725852726,0.01306675,29038624
13,0.008412377979189287,0.004418867609597986,0.011697709,22958032
11,0.001277320473535344,0.004371191526483281,0.011070333,18317584
