v,chi_mc,chi_mc_err,chi_ni
0.010000000000000002,-0.0009842601852846039,0.007116913356138543,2.2787825747453978e-7
0.01373823795883263,-0.0010552127401648797,0.006957145950464253,3.734536361210688e-5
0.018873918221350976,0.025490507885205956,0.0070227276077280965,0.0013309100649209794
0.02592943797404667,0.035795327962795574,0.007013195136680799,0.014725817593958461
0.035622478902624426,0.06556483327434302,0.0070193833928941995,0.06512710849334892
0.04893900918477494,0.15331471371304803,0.006680004891688363,0.15227715652740634
0.06723357536499339,0.2595508969060178,0.006108998830230004,0.2541165479365829
0.09236708571873861,0.3288617065137841,0.0056846487362351905,0.3381438813170981
0.12689610031679222,0.38017805664723037,0.005170718009910059,0.39641858166599525
0.17433288221999882,0.44512006934559356,0.00462971436126764,0.43330400879568626
0.23950266199874853,0.45623644734093377,0.004503500936113906,0.4534875080078752
0.3290344562312668,0.45101337385986645,0.004319245685920046,0.46466455755610875
0.4520353656360243,0.46970818609600357,0.0041937287567125805,0.4716036945766655
0.6210169418915615,0.47487780916468947,0.004303310940722209,0.47437528019294206
0.8531678524172809,0.4794287861966383,0.0041920712655994395,0.47655355191962345
1.1721022975334803,0.4812925294843384,0.004201066911964432,0.4780186748594701
1.6102620275609394,0.47288112873876287,0.00423662803760436,0.4778240055910674
2.2122162910704493,0.47652527207211914,0.00423189899803797,0.47890973520451885
3.0391953823131974,0.4728150740202682,0.004187438292189963,0.47902239146190456
4.1753189365604015,0.4916059705561099,0.0039928004482033515,0.47960550121008266
5.736152510448679,0.4877198658716074,0.00414285963873949,0.4800030361164156
7.880462815669913,0.4811611214936328,0.0041181053839523234,0.47974145574625465
10.826367338740546,0.47360170431744464,0.004197322207919846,0.4792217719404667
14.87352107293511,0.47981735700832506,0.004129229351910987,0.4795727745847167
20.433597178569418,0.47189205921034866,0.0043876876866938905,0.4797764989251085
28.072162039411772,0.47927041747947685,0.004257414443681153,0.48028552799165175
38.56620421163472,0.47874605983963914,0.0041733900422137645,0.48115135544836485
52.98316906283707,0.48963205543474897,0.004118645560391273,0.480198003988223
72.7895384398315,0.48281139897990116,0.004234653565027205,0.4800457289698986
100.0,0.48452704416617653,0.004213512308268717,0.4811704143789771
