v,chi_ni
0.010000000000000002,0.003966159051801663
0.01373823795883263,0.018019055007872896
0.018873918221350976,0.061401220855523624
0.02592943797404667,0.1522186052406126
0.035622478902624426,0.2885739318506845
0.04893900918477494,0.43781271935524685
0.06723357536499339,0.5681214807866743
0.09236708571873861,0.6635894204266605
0.12689610031679222,0.7248180088492799
0.17433288221999882,0.7616366743538865
0.23950266199874853,0.7824556886672341
0.3290344562312668,0.7942810802788283
0.4520353656360243,0.8006251136148952
0.6210169418915615,0.8040735289959546
0.8531678524172809,0.8059713213875225
1.1721022975334803,0.8069648070530356
1.6102620275609394,0.8074916512550228
2.2122162910704493,0.8077892083396938
3.0391953823131974,0.8079475150931626
4.1753189365604015,0.8079858671936542
5.736152510448679,0.8080815622768139
7.880462815669913,0.8081160497692959
10.826367338740546,0.8081481506811693
14.87352107293511,0.808268325650193
20.433597178569418,0.8083272068555852
28.072162039411772,0.8083453490463882
38.56620421163472,0.8081122504359258
52.98316906283707,0.8085247384013429
72.7895384398315,0.8080304716959194
100.0,0.8079210904052921
