v,T0
0.001,0.010000000000000002
0.0010292747724096089,0.010174634027476068
0.001059406557118851,0.010352317759307388
0.0010904204429677527,0.01053310445370937
0.0011223422532664184,0.01071704829896711
0.0011551985672964792,0.010904204429677527
0.0011890167424419898,0.011094628943275224
0.0012238249369681924,0.011288378916846888
0.0012596521334671401,0.01148551242423938
0.001296528162989669,0.011686088553466515
0.0013344837298838383,0.011890167424419899
0.0013735504373605135,0.012097810206889013
0.0014137608138073614,0.012309079138896025
0.0014551483398731937,0.012524037545350732
0.0014977474763452016,0.012742749857031341
0.0015415936928422718,0.012965281629896682
0.0015867234973483179,0.013191699564735716
0.0016331744666101683,0.013422071527160127
0.0016809852774253638,0.013656466567946111
0.0017301957388458943,0.013894954943731374
0.001780846825324683,0.014137608138073606
0.0018329807108324356,0.01438449888287663
0.0018866408039732582,0.014635701180190806
0.001941871784128255,0.014891290324394095
0.0019987196386572507,0.01515134292476053
0.002057231701189557,0.015415936928422726
0.002117456691035712,0.01568515164373548
0.002179444753752986,0.01595906776404731
0.0022432475028984203,0.016237767391887217
0.0023089180630041927,0.0165213340635737
0.002376511113811075,0.016809852774253644
0.002446082935796798,0.017103410003378405
0.0025176914570372772,0.01740209374062485
0.00259139630143966,0.01770599351226899
0.002667258838387405,0.018015200408020255
0.0027453422338387145,0.018329807108324356
0.00282571150292083,0.018649907912142973
0.002908433564064048,0.018975598765218503
0.0029935772947204905,0.019306977288832506
0.003081213588714002,0.019644142809066276
0.003171415415268999,0.019987196386572505
0.0032642578797673237,0.020336240846866735
0.003359818286283781,0.0206913808111479
0.003458176201952381,0.02105272272765707
0.003559413523216862,0.021420374903583842
0.003663614544020716,0.021794447537529855
0.0037708660259934555,0.02217505275253933
0.003881257270691536,0.02256230462970634
0.0039948801939541706,0.022956319242369096
0.004111829402435833,0.023357214690901226
0.004232202272379275,0.023765111138110754
0.004356099030694608,0.024180130845257206
0.004483622838411911,0.024602398208697765
0.004614879876576939,0.025032039797173253
0.004749979434661412,0.025469184389745412
0.004889034001561442,0.025913963014396586
0.005032159359259993,0.026366508987303583
0.005179474679231213,0.02682695795279726
0.005331102621667033,0.027295447924020073
0.005487169437608604,0.02777211932429355
0.005647805074067557,0.028257115029208284
0.005813143282224713,0.028750580409448803
0.005983321728796289,0.029252663374366463
0.00615848211066026,0.029763514416313176
0.0063387702728384876,0.030283286655749458
0.0065243363299326285,0.030812135887140036
0.006715334791115142,0.031350220625651154
0.006911924688779366,0.03189770215466321
0.007114269710955738,0.032454744574113306
0.007322538337604534,0.03302151484968176
0.007536903980898541,0.033598182862837826
0.007757545129612414,0.03418492146175929
0.007984645497739086,0.0347819065131413
0.008218394177456807,0.0353893169549099
0.0084589857965743,0.0360073348498562
0.008706620680585126,0.036636145440207164
0.00896150501946605,0.0372759372031494
0.009223851039358476,0.0379269019073225
0.00949387717927583,0.03858923467029905
0.0097718082729839,0.03926313401706837
0.010057875736205835,0.0399488019395417
0.010352317759307388,0.040646443957096295
0.010655379505623059,0.0413562691781771
0.010967313315588178,0.04207849036297403
0.011288378916846888,0.04281332398719394
0.011618843640511009,0.04356099030694608
0.011958982643749793,0.04432171342476088
0.012309079138896025,0.045095721356761466
0.012669424629259064,0.04588324610100845
0.013040319151841315,0.04668452370703792
0.013422071527160127,0.047499794346614124
0.013814999616383224,0.04832930238571752
0.014219430585991668,0.049173296457790186
0.014635701180190806,0.05003202953826004
0.015064158001295926,0.05090575902036684
0.015505157798326246,0.0517947467923121
0.01595906776404731,0.052699259315756565
0.01642626584070932,0.053619567705688195
0.01690714103473581,0.0545559478116852
0.01740209374062485,0.05550868030059805
0.01791153607433231,0.056478050740675544
0.01843589221641489,0.05746434968715974
0.018975598765218503,0.05846787276937592
0.01953110510040632,0.05948892077934334
0.020102873757128856,0.06052779976193349
0.0206913808111479,0.06158482110660264
0.02129711627523479,0.06266030164072656
0.021920584507173258,0.06375456372456506
0.02256230462970634,0.06486793534788511
0.023222810962777257,0.06600075022827095
0.023902653468423917,0.06715334791115145
0.024602398208697765,0.06832607387157402
0.025322627816987946,0.06951927961775606
0.026063941983143497,0.07073332279644443
0.02682695795279726,0.07196856730011521
0.02761231104130753,0.07322538337604534
0.028420655162745122,0.07450414773728913
0.029252663374366463,0.07580524367559262
0.030109028437025925,0.07712906117627996
0.030990463391994284,0.07847599703514611
0.03189770215466321,0.07984645497739086
0.03283150012563047,0.0812408457786297
0.03379263481967433,0.08265958738801812
0.0347819065131413,0.08410310505352604
0.035800138910285786,0.08557183144940006
0.036848179829116784,0.08706620680585127
0.0379269019073225,0.08858667904100828
0.0390372033288609,0.09013370389517433
0.04018000857182091,0.0917077450674293
0.0413562691781771,0.09330927435461668
0.04256696454607874,0.0949387717927583
0.04381310274533306,0.09659672580093832
0.045095721356761466,0.09828363332770025
0.046415888336127795,0.1
0.04777470290335773,0.10174634027476069
0.049173296457790186,0.10352317759307386
0.05061283352022219,0.10533104453709373
0.05209451270253212,0.10717048298967109
0.053619567705688195,0.10904204429677526
0.0551892683469738,0.11094628943275221
0.05680492161728426,0.11288378916846892
0.05846787276937592,0.1148551242423938
0.06017950643797334,0.11686088553466514
0.06194124779266757,0.11890167424419897
0.06375456372456506,0.12097810206889016
0.0656209640676756,0.12309079138896024
0.0675420028560559,0.1252403754535073
0.06951927961775606,0.12742749857031338
0.07155444070664578,0.12965281629896686
0.07364918067322969,0.13191699564735718
0.07580524367559262,0.13422071527160126
0.07802442493165049,0.13656466567946107
0.08030857221391513,0.13894954943731377
0.08265958738801812,0.14137608138073607
0.08507942799627449,0.14384498882876628
0.08757010888760508,0.14635701180190802
0.09013370389517433,0.148912903243941
0.09277234756314064,0.1515134292476053
0.09548823692395667,0.15415936928422727
0.09828363332770025,0.15685151643735473
0.1011608643249581,0.15959067764047313
0.10412232560483055,0.16237767391887217
0.10717048298967109,0.165213340635737
0.11030787448822153,0.16809852774253642
0.11353711240885186,0.17103410003378408
0.11686088553466514,0.1740209374062485
0.12028196136227776,0.1770599351226899
0.12380318840613977,0.18015200408020252
0.12742749857031338,0.1832980710832436
0.131157909589685,0.1864990791214297
0.13499752754264305,0.18975598765218504
0.13894954943731377,0.193069772888325
0.14301726587350877,0.1964414280906628
0.1472040637826002,0.19987196386572506
0.1515134292476053,0.20336240846866735
0.15594895040582826,0.20691380811147897
0.1605143204364762,0.21052722727657075
0.165213340635737,0.21420374903583841
0.17004992358187931,0.21794447537529857
0.17502809639301017,0.22175052752539323
0.18015200408020252,0.22562304629706345
0.18542591299878533,0.22956319242369097
0.1908542144006686,0.23357214690901226
0.1964414280906628,0.23765111138110748
0.2021922061898354,0.2418013084525721
0.2081113370090395,0.24602398208697762
0.21420374903583841,0.25032039797173256
0.2204745150381475,0.2546918438974541
0.22692885628800805,0.2591396301439659
0.23357214690901226,0.26366508987303583
0.24040991835099718,0.2682695795279726
0.2474478639957352,0.27295447924020066
0.2546918438974541,0.2777211932429356
0.2621478896621356,0.28257115029208285
0.26982220946965374,0.287505804094488
0.2777211932429356,0.29252663374366455
0.2858514179684474,0.29763514416313186
0.29421965317243753,0.3028328665574946
0.3028328665574946,0.30812135887140035
0.3116982298041146,0.3135022062565115
0.3208231245421079,0.3189770215466322
0.33021514849681755,0.3245474457411331
0.33988212181526695,0.33021514849681755
0.3498320935775037,0.3359818286283782
0.360073348498562,0.341849214617593
0.37061441382662297,0.34781906513141303
0.3814640664431178,0.353893169549099
0.39263134017068385,0.360073348498562
0.4041255332950602,0.3663614544020717
0.4159562163071847,0.37275937203149406
0.4281332398719394,0.37926901907322497
0.4406667430301787,0.38589234670299044
0.45356716164087063,0.39263134017068385
0.4668452370703792,0.39948801939541706
0.4805120251361243,0.406464439570963
0.4945789053120644,0.41356269178177096
0.5090575902036684,0.42078490362974036
0.5239601353002644,0.4281332398719394
0.5392989490128873,0.4356099030694608
0.5550868030059807,0.4432171342476087
0.571336842831558,0.4509572135676148
0.588062598874676,0.45883246101008457
0.605277997619335,0.4668452370703792
0.6229973732441846,0.47499794346614116
0.641235479557692,0.4832930238571753
0.6600075022827095,0.4917329645779019
0.6793290717006699,0.5003202953826005
0.6992162756659377,0.5090575902036684
0.719685673001152,0.5179474679231212
0.7407543072847167,0.5269925931575657
0.7624397210419139,0.536195677056882
0.7847599703514613,0.5455594781168519
0.8077336398796714,0.5550868030059807
0.8313798583547334,0.5647805074067556
0.8557183144940007,0.5746434968715974
0.8807692733975464,0.5846787276937592
0.9065535934216358,0.5948892077934336
0.9330927435461668,0.605277997619335
0.9604088212505381,0.6158482110660264
0.9885245709128279,0.6266030164072656
1.0174634027476068,0.6375456372456508
1.0472494122981486,0.6486793534788512
1.0779074004992732,0.6600075022827095
1.109462894327522,0.6715334791115144
1.1419421680558657,0.6832607387157403
1.1753722651306362,0.6951927961775606
1.2097810206889015,0.7073332279644442
1.2451970847350329,0.719685673001152
1.2816499459957589,0.7322538337604535
1.3191699564735717,0.7450414773728914
1.3577883567189286,0.7580524367559262
1.3975373018422914,0.7712906117627996
1.4384498882876628,0.7847599703514613
1.4805601813899107,0.7984645497739088
1.5239032437388291,0.812408457786297
1.5685151643735473,0.8265958738801812
1.6144330888316025,0.8410310505352607
1.661695250077689,0.8557183144940007
1.7103410003378408,0.8706620680585127
1.760410843865553,0.8858667904100826
1.8119464706671238,0.9013370389517437
1.8649907912142971,0.9170774506742932
1.9195879721731113,0.9330927435461668
1.975783473178701,0.9493877179275828
2.0336240846866733,0.9659672580093834
2.0931579669325737,0.9828363332770027
2.154434690031884,1.0
2.217505275253932,1.0174634027476068
2.2824222375040972,1.0352317759307386
2.3492396290496593,1.0533104453709372
2.418013084525721,1.071704829896711
2.488799867258667,1.0904204429677524
2.561658916945728,1.109462894327522
2.636650898730358,1.128837891684689
2.713838253714279,1.148551242423938
2.7932852509482538,1.1686088553466514
2.87505804094488,1.1890167424419895
2.959224710757956,1.2097810206889015
3.0458553406742843,1.2309079138896024
3.1350220625651146,1.252403754535073
3.22679911994581,1.2742749857031337
3.321262929793748,1.2965281629896683
3.4184921461759297,1.3191699564735717
3.518567725739264,1.3422071527160124
3.6215729951180746,1.3656466567946106
3.72759372031494,1.3894954943731377
3.836718178112646,1.4137608138073605
3.949037229576701,1.4384498882876628
4.06464439570963,1.46357011801908
4.183635935320019,1.4891290324394097
4.306110925171173,1.515134292476053
4.432171342476087,1.5415936928422724
4.561922149807463,1.5685151643735473
4.695471382493428,1.5959067764047312
4.832930238571754,1.6237767391887217
4.9744131713774555,1.65213340635737
5.12003798484089,1.6809852774253642
5.269925931575656,1.7103410003378408
5.424201813838028,1.7402093740624849
5.5829940874419215,1.7705993512268987
5.746434968715974,1.8015200408020253
5.914660544591749,1.8329807108324359
6.087810885914764,1.8649907912142971
6.266030164072655,1.8975598765218502
6.449466771037624,1.93069772888325
6.638273442923081,1.9644142809066278
6.832607387157403,1.9987196386572506
7.032630413380645,2.0336240846866733
7.238509068173255,2.0691380811147897
7.450414773728913,2.105272272765707
7.668523970587012,2.1420374903583843
7.893018264543573,2.1794447537529855
8.12408457786297,2.217505275253932
8.361915304916318,2.2562304629706342
8.606708472376166,2.2956319242369094
8.858667904100825,2.3357214690901222
9.118003390845681,2.3765111138110746
9.384930864942726,2.418013084525721
9.659672580093835,2.460239820869776
9.942457296427415,2.503203979717325
10.23352047097258,2.5469184389745405
10.53310445370937,2.591396301439659
10.84145868935835,2.636650898730358
11.158839925077485,2.6826957952797255
11.48551242423938,2.7295447924020064
11.821748186466717,2.7772119324293554
12.167827174109236,2.825711502920828
12.524037545350732,2.87505804094488
12.890675894140264,2.9252663374366454
13.268047497147244,2.976351441631318
13.65646656794611,3.0283286655749455
14.056256518642158,3.0812135887140033
14.46775022915648,3.1350220625651146
14.891290324394095,3.1897702154663223
15.327229459526142,3.245474457411331
15.775930613623613,3.3021514849681757
16.237767391887218,3.3598182862837818
16.713124336724874,3.4184921461759297
17.20239724793599,3.4781906513141303
17.70599351226899,3.53893169549099
18.224332442626665,3.600733484985619
18.757845627201604,3.663614544020717
19.306977288832506,3.72759372031494
19.872184654880556,3.79269019073225
20.453938337933895,3.858923467029904
21.05272272765707,3.9263134017068384
21.66903639411183,3.9948801939541703
22.303392502884975,4.06464439570963
22.956319242369098,4.135626917817709
23.628360263551762,4.207849036297404
24.320075132679488,4.281332398719393
25.032039797173255,4.356099030694608
25.76484706518376,4.432171342476087
26.51910709918538,4.509572135676148
27.295447924020074,4.588324610100845
28.094515949814078,4.668452370703792
28.916976510202993,4.7499794346614115
29.76351441631318,4.832930238571754
30.63483452696086,4.917329645779018
31.531662335543647,5.003202953826004
32.454744574113306,5.090575902036683
33.404849835132445,5.179474679231212
34.38276921143311,5.269925931575656
35.389316954909894,5.36195677056882
36.42533115449638,5.455594781168519
37.49167443398888,5.550868030059807
38.58923467029905,5.647805074067555
39.71892573273302,5.746434968715974
40.88168824391292,5.846787276937591
42.07849036297403,5.948892077934335
43.31032859169001,6.052779976193349
44.578228604197086,6.158482110660264
45.883246101008446,6.266030164072655
47.22646768802952,6.375456372456508
48.60901178130633,6.486793534788511
50.03202953826004,6.600075022827095
51.49670581618341,6.7153347911151435
53.004260158796725,6.832607387157403
54.5559478116852,6.951927961775605
56.153060767462755,7.073332279644442
57.79692884153313,7.196856730011519
59.48892077934334,7.322538337604535
61.23044539605187,7.450414773728913
63.02295274956024,7.580524367559261
64.86793534788511,7.712906117627995
66.76692939187564,7.847599703514613
68.72151605431122,7.984645497739087
70.73332279644443,8.12408457786297
72.80402472308569,8.26595873880181
74.93534597735753,8.410310505352607
77.12906117627996,8.557183144940007
79.38699688838231,8.706620680585127
81.711033154572,8.858667904100825
84.10310505352605,9.013370389517437
86.56520431290944,9.170774506742932
89.09938096776112,9.330927435461668
91.70774506742931,9.493877179275827
94.39246843247668,9.659672580093835
97.15578646301863,9.828363332770026
100.0,10.0
