v,chi_ni
0.010000000000000002,0.9867534162516899
0.01373823795883263,0.9893354027419943
0.018873918221350976,0.9915733588376084
0.02592943797404667,0.9934440549385969
0.035622478902624426,0.9949477094134165
0.04893900918477494,0.9961332785256376
0.06723357536499339,0.9970464043668755
0.09236708571873861,0.9976978889640606
0.12689610031679222,0.9981014026297778
0.17433288221999882,0.9985852555765594
0.23950266199874853,0.9988758733831478
0.3290344562312668,0.9991387771216853
0.4520353656360243,0.9992450100206285
0.6210169418915615,0.9994131216627029
0.8531678524172809,0.9994639153652461
1.1721022975334803,0.9995255985780972
1.6102620275609394,0.999562152773174
2.2122162910704493,0.9995781449145286
3.0391953823131974,0.9995908972001176
4.1753189365604015,0.9995953733970274
5.736152510448679,0.9995985884078593
7.880462815669913,0.999600867301969
10.826367338740546,0.9996014401665869
14.87352107293511,0.9996020198878683
20.433597178569418,0.9996022354542212
28.072162039411772,0.9996025103474826
38.56620421163472,0.9996025352812352
52.98316906283707,0.9996026879399154
72.7895384398315,0.9996027436172209
100.0,0.9996027216616461
