v,chi_ni
0.010000000000000002,0.30428726415757357
0.01373823795883263,0.3606149797097808
0.018873918221350976,0.48995969185766003
0.02592943797404667,0.6044651760758113
0.035622478902624426,0.7081860493450031
0.04893900918477494,0.7844995474332006
0.06723357536499339,0.848898607879821
0.09236708571873861,0.8928082297070823
0.12689610031679222,0.9216573709691392
0.17433288221999882,0.9389500962662937
0.23950266199874853,0.9497767521860216
0.3290344562312668,0.9559089846504559
0.4520353656360243,0.959158843723477
0.6210169418915615,0.9610267758152958
0.8531678524172809,0.9620387779669015
1.1721022975334803,0.9625942924302804
1.6102620275609394,0.9629004836790817
2.2122162910704493,0.9630403739863445
3.0391953823131974,0.963134588260841
4.1753189365604015,0.9631713074394249
5.736152510448679,0.9632065751469527
7.880462815669913,0.9632168342915237
10.826367338740546,0.963229403530988
14.87352107293511,0.9632295127890795
20.433597178569418,0.9632306600634203
28.072162039411772,0.9631987107267532
38.56620421163472,0.9632433146039575
52.98316906283707,0.9632408132132113
72.7895384398315,0.9632359372424572
100.0,0.9632779444052461
