scenario_id,control_label,initial_state,p_doublet_initial,initial_state_definition,reference_rate_s^-1,duration_over_reference,duration_s,field_t,g_radical,g_oxygen,exchange_rad_s,local_mixing_proxy_rad_s,mixing_over_reference,radical_relaxation_s^-1,radical_relaxation_over_reference,oxygen_relaxation_s^-1,k_doublet_s^-1,k_quartet_s^-1,k_escape_s^-1,escape_over_reference,kq_over_kd,dq_commutator_frobenius,dq_commutator_normalization,can_coherently_mix_dq,control_meaning,final_doublet_population,final_quartet_population,doublet_reaction_yield_per_encounter,quartet_reaction_yield_per_encounter,primary_superoxide_yield_per_encounter,escape_yield_per_encounter,unresolved_probability,probability_balance,probability_balance_error,solver,solver_samples,non_predictive,output_class,units,limitations,git_commit,source_fingerprint_sha256,config_path,config_sha256,provenance_path,provenance_sha256
baseline_sensitivity,Baseline sensitivity,unpolarized,0.33333333333333337,unpolarized I6/6,1000000.0,8.0,8e-06,"[0.0, 0.0, 0.0]",0.0,0.0,0.0,"[1000000.0, 0, 0]",1.0,100000.0,0.1,100000.0,1000000.0,100000.0,1000000.0,1.0,0.1,0.9428090415820635,divided by k_ref,True,Illustrative reference case; no parameter is an exact-system estimate,5.533428438770538e-06,3.79004843738397e-05,0.1848290544320762,0.05729985974754856,0.24212891417962476,0.757827651907562,4.343391281261024e-05,0.9999999999999993,6.661338147750939e-16,constant-generator matrix exponential Pade(13),2,True,dimensionless control probabilities/per-encounter yields,dimensionless except explicit rate/frequency fields,"Illustrative one-factor-at-a-time grid; bounds are not measured ranges or probability priors. Results are populations and per-encounter yields, not concentrations or biological fluxes. No encounter yield is converted to molarity, and no continuous biological ROS source is modeled.",ae188e2ba41fafda0a98499db6e2918fccc0fc4f,1afbda6f7c930e34dd90ab95767796d038c4429c4f4c40c50f3e68f50bf98a71,configs/doxorubicin_parameters.json,0b7d200aedee3aed703b810ad54927a2126d9ee0952f6ef87cf5ebb57992d345,configs/parameter_provenance.csv,86c4261fcb9616a643db79340fe0b7398ba10a5c46464e67e8b697bcfc3a4ec9
zero_mixing,Zero mixing,unpolarized,0.33333333333333337,unpolarized I6/6,1000000.0,8.0,8e-06,"[0.0, 0.0, 0.0]",0.0,0.0,0.0,"[0.0, 0.0, 0.0]",0.0,100000.0,0.1,100000.0,1000000.0,100000.0,1000000.0,1.0,0.1,0.0,divided by k_ref,False,No coherent D/Q mixing term,4.595572637501802e-06,6.711208706615418e-05,0.17472721681160674,0.05913398715609835,0.2338612039677051,0.7660670883725904,7.170765970365598e-05,0.9999999999999991,8.881784197001252e-16,constant-generator matrix exponential Pade(13),2,True,dimensionless control probabilities/per-encounter yields,dimensionless except explicit rate/frequency fields,"Illustrative one-factor-at-a-time grid; bounds are not measured ranges or probability priors. Results are populations and per-encounter yields, not concentrations or biological fluxes. No encounter yield is converted to molarity, and no continuous biological ROS source is modeled.",ae188e2ba41fafda0a98499db6e2918fccc0fc4f,1afbda6f7c930e34dd90ab95767796d038c4429c4f4c40c50f3e68f50bf98a71,configs/doxorubicin_parameters.json,0b7d200aedee3aed703b810ad54927a2126d9ee0952f6ef87cf5ebb57992d345,configs/parameter_provenance.csv,86c4261fcb9616a643db79340fe0b7398ba10a5c46464e67e8b697bcfc3a4ec9
spin_independent_reaction,Spin-independent reaction,unpolarized,0.33333333333333337,unpolarized I6/6,1000000.0,8.0,8e-06,"[0.0, 0.0, 0.0]",0.0,0.0,0.0,"[1000000.0, 0, 0]",1.0,100000.0,0.1,100000.0,1000000.0,1000000.0,1000000.0,1.0,1.0,0.9428090415820635,divided by k_ref,True,kQ=kD null; mixing cannot change total reaction probability,3.7511724906419754e-08,7.502344981283953e-08,0.16666664791080393,0.33333329582160787,0.4999999437324118,0.49999994373241186,1.1253517471925926e-07,0.9999999999999984,1.5543122344752192e-15,constant-generator matrix exponential Pade(13),2,True,dimensionless control probabilities/per-encounter yields,dimensionless except explicit rate/frequency fields,"Illustrative one-factor-at-a-time grid; bounds are not measured ranges or probability priors. Results are populations and per-encounter yields, not concentrations or biological fluxes. No encounter yield is converted to molarity, and no continuous biological ROS source is modeled.",ae188e2ba41fafda0a98499db6e2918fccc0fc4f,1afbda6f7c930e34dd90ab95767796d038c4429c4f4c40c50f3e68f50bf98a71,configs/doxorubicin_parameters.json,0b7d200aedee3aed703b810ad54927a2126d9ee0952f6ef87cf5ebb57992d345,configs/parameter_provenance.csv,86c4261fcb9616a643db79340fe0b7398ba10a5c46464e67e8b697bcfc3a4ec9
fast_relaxation,Fast relaxation,unpolarized,0.33333333333333337,unpolarized I6/6,1000000.0,8.0,8e-06,"[0.0, 0.0, 0.0]",0.0,0.0,0.0,"[1000000.0, 0, 0]",1.0,100000000.0,100.0,100000000.0,1000000.0,100000.0,1000000.0,1.0,0.1,0.9428090415820635,divided by k_ref,True,Illustrative local isotropic depolarization,4.57717917902585e-06,9.195613981660402e-06,0.23753512647330338,0.047719634023650565,0.285254760496954,0.714731466709809,1.3772793160686254e-05,0.9999999999999237,7.627232179174825e-14,constant-generator matrix exponential Pade(13),2,True,dimensionless control probabilities/per-encounter yields,dimensionless except explicit rate/frequency fields,"Illustrative one-factor-at-a-time grid; bounds are not measured ranges or probability priors. Results are populations and per-encounter yields, not concentrations or biological fluxes. No encounter yield is converted to molarity, and no continuous biological ROS source is modeled.",ae188e2ba41fafda0a98499db6e2918fccc0fc4f,1afbda6f7c930e34dd90ab95767796d038c4429c4f4c40c50f3e68f50bf98a71,configs/doxorubicin_parameters.json,0b7d200aedee3aed703b810ad54927a2126d9ee0952f6ef87cf5ebb57992d345,configs/parameter_provenance.csv,86c4261fcb9616a643db79340fe0b7398ba10a5c46464e67e8b697bcfc3a4ec9
rapid_escape,Rapid escape,unpolarized,0.33333333333333337,unpolarized I6/6,1000000.0,8.0,8e-06,"[0.0, 0.0, 0.0]",0.0,0.0,0.0,"[1000000.0, 0, 0]",1.0,100000.0,0.1,100000.0,1000000.0,100000.0,100000000.0,100.0,0.1,0.9428090415820635,divided by k_ref,True,Escape dominates before most modeled electron transfer,0.0,0.0,0.003300370418799833,0.0006659965911100498,0.003966367009909883,0.9960336329900332,0.0,0.9999999999999432,5.684341886080802e-14,constant-generator matrix exponential Pade(13),2,True,dimensionless control probabilities/per-encounter yields,dimensionless except explicit rate/frequency fields,"Illustrative one-factor-at-a-time grid; bounds are not measured ranges or probability priors. Results are populations and per-encounter yields, not concentrations or biological fluxes. No encounter yield is converted to molarity, and no continuous biological ROS source is modeled.",ae188e2ba41fafda0a98499db6e2918fccc0fc4f,1afbda6f7c930e34dd90ab95767796d038c4429c4f4c40c50f3e68f50bf98a71,configs/doxorubicin_parameters.json,0b7d200aedee3aed703b810ad54927a2126d9ee0952f6ef87cf5ebb57992d345,configs/parameter_provenance.csv,86c4261fcb9616a643db79340fe0b7398ba10a5c46464e67e8b697bcfc3a4ec9
doublet_benchmark,Doublet benchmark,doublet,0.9999999999999999,doublet-manifold mixture PD/2,1000000.0,8.0,8e-06,"[0.0, 0.0, 0.0]",0.0,0.0,0.0,"[1000000.0, 0, 0]",1.0,100000.0,0.1,100000.0,1000000.0,100000.0,1000000.0,1.0,0.1,0.9428090415820635,divided by k_ref,True,Computational limiting benchmark; not a demonstrated prepared state,2.6455767228142796e-06,1.3954708593497345e-05,0.4333861334320349,0.012110102986419376,0.4454962364184543,0.5544871632962286,1.6600285316311623e-05,0.9999999999999993,6.661338147750939e-16,constant-generator matrix exponential Pade(13),2,True,dimensionless control probabilities/per-encounter yields,dimensionless except explicit rate/frequency fields,"Illustrative one-factor-at-a-time grid; bounds are not measured ranges or probability priors. Results are populations and per-encounter yields, not concentrations or biological fluxes. No encounter yield is converted to molarity, and no continuous biological ROS source is modeled.",ae188e2ba41fafda0a98499db6e2918fccc0fc4f,1afbda6f7c930e34dd90ab95767796d038c4429c4f4c40c50f3e68f50bf98a71,configs/doxorubicin_parameters.json,0b7d200aedee3aed703b810ad54927a2126d9ee0952f6ef87cf5ebb57992d345,configs/parameter_provenance.csv,86c4261fcb9616a643db79340fe0b7398ba10a5c46464e67e8b697bcfc3a4ec9
quartet_benchmark,Quartet benchmark,quartet,-1.008102552748629e-17,quartet-manifold mixture PQ/4,1000000.0,8.0,8e-06,"[0.0, 0.0, 0.0]",0.0,0.0,0.0,"[1000000.0, 0, 0]",1.0,100000.0,0.1,100000.0,1000000.0,100000.0,1000000.0,1.0,0.1,0.9428090415820635,divided by k_ref,True,Computational limiting benchmark; not a demonstrated prepared state,6.977354296748665e-06,4.987337226401088e-05,0.060550514932096816,0.07989473812811315,0.14044525306020997,0.8594978962132286,5.685072656075954e-05,0.9999999999999993,6.661338147750939e-16,constant-generator matrix exponential Pade(13),2,True,dimensionless control probabilities/per-encounter yields,dimensionless except explicit rate/frequency fields,"Illustrative one-factor-at-a-time grid; bounds are not measured ranges or probability priors. Results are populations and per-encounter yields, not concentrations or biological fluxes. No encounter yield is converted to molarity, and no continuous biological ROS source is modeled.",ae188e2ba41fafda0a98499db6e2918fccc0fc4f,1afbda6f7c930e34dd90ab95767796d038c4429c4f4c40c50f3e68f50bf98a71,configs/doxorubicin_parameters.json,0b7d200aedee3aed703b810ad54927a2126d9ee0952f6ef87cf5ebb57992d345,configs/parameter_provenance.csv,86c4261fcb9616a643db79340fe0b7398ba10a5c46464e67e8b697bcfc3a4ec9
